,Article,Views,Total Edits,Total Minors,Total Editors,Creator,Creation Date,Ratio (Edits/Editor)
95,Ilse Aigner,189215,455,166,269,Southpark,2004-06-10,"1,69144981412639"
233,Kurt Biedenkopf,76138,454,187,296,217225253221,2003-06-05,"1,53378378378378"
240,Vercingetorix,73747,452,191,288,Ben-Zin,2002-10-25,"1,56944444444444"
225,Christian Schmidt,79974,445,146,210,Max Plenert,2005-10-13,"2,11904761904762"
146,Theo Waigel,120249,440,162,269,217.5.115.206,2003-09-27,"1,63568773234201"
223,Bundesamt für Migration und Flüchtlinge,81256,430,147,200,Grigory Grin~dewiki,2004-10-10,"2,15"
166,Liste der Mitglieder des Deutschen Bundestages (19. Wahlperiode),109211,425,124,134,Olaf Kosinsky,2017-09-24,"3,17164179104478"
85,Kabinett Merkel III,206081,422,124,223,Jakob Gottfried,2013-12-13,"1,89237668161435"
88,Chauvinismus,202091,419,182,256,193.170.250.70,2005-12-01,"1,63671875"
49,Kristina Vogel,339478,418,100,118,Nicola,2010-02-17,"3,54237288135593"
57,Freie Wähler (Bundesvereinigung),311716,417,126,204,ElTres,2011-12-14,"2,04411764705882"
83,Arnd Peiffer,211402,417,108,175,Goodgirl,2008-12-22,"2,38285714285714"
129,Black Panther Party,133580,416,155,268,Erwin E aus U,2004-04-16,"1,55223880597015"
239,"Bundesministerium für Familie, Senioren, Frauen und Jugend",73889,415,150,262,Stefan Kühn,2003-04-30,"1,58396946564886"
84,Malu Dreyer,207259,409,151,220,84169202149,2005-02-18,"1,85909090909091"
247,Bundesministerium der Justiz und für Verbraucherschutz,71589,407,142,265,Stefan Kühn,2003-04-30,"1,53584905660377"
28,Kabinett Merkel IV,475364,400,67,159,Frīheidasliova,2018-02-07,"2,51572327044025"
109,Burning Man,169828,393,141,261,212.162.48.124,2004-08-10,"1,50574712643678"
208,Bundesministerium für Bildung und Forschung,85164,393,145,239,Stefan Kühn,2003-04-30,"1,64435146443515"
180,Bundesministerium der Finanzen,102005,392,154,260,Stefan Kühn,2003-04-30,"1,50769230769231"
136,Generalinspekteur der Bundeswehr,127923,388,110,193,Bear,2003-08-16,"2,01036269430052"
190,Petra Pau,95974,384,120,248,Spacey,2003-07-09,"1,54838709677419"
182,Bundesminister (Deutschland),101417,376,143,270,cache-frr-ab05.proxy.aol.com,2002-03-17,"1,39259259259259"
114,Bundesministerium (Deutschland),156439,372,138,212,SonjaKilchberg,2004-03-26,"1,75471698113208"
167,Björn Engholm,108967,369,141,231,212.59.62.73,2003-02-05,"1,5974025974026"
131,Wolfgang Kubicki,129526,366,122,223,Sansculotte,2004-04-07,"1,64125560538117"
183,Nationale Front für die Befreiung Südvietnams,101053,361,165,247,Info4Torty,2003-11-19,"1,46153846153846"
186,Philipp Jenninger,98375,356,120,209,212.7.131.33,2004-04-15,"1,70334928229665"
149,Klaus von Dohnanyi,117867,353,142,216,Laroon,2003-10-25,"1,63425925925926"
214,Bundesministerium für Arbeit und Soziales,83035,352,114,224,84.227.3.110,2005-10-19,"1,57142857142857"
249,Hermann Gröhe,70779,346,106,215,194.231.0.34,2004-03-10,"1,6093023255814"
193,Bundesministerium für Wirtschaft und Energie,93928,343,109,222,84.227.3.110,2005-10-19,"1,54504504504505"
173,Wolfsangel,105051,342,107,194,213.6.72.62,2005-09-13,"1,76288659793814"
163,Natalie Geisenberger,110909,331,160,124,Hegeba,2005-05-10,"2,66935483870968"
168,Günther Krause,107163,320,125,180,Laroon,2003-10-26,"1,77777777777778"
244,Manifest Destiny,72557,300,115,217,212.4.64.27,2003-11-24,"1,38248847926267"
34,Sawsan Chebli,419028,294,85,152,Muruj,2014-01-26,"1,93421052631579"
71,Die blaue Partei,242769,293,89,124,FelixFuchs,2017-10-11,"2,36290322580645"
236,Felix Loch,74706,292,107,147,Marcus Cyron,2007-02-04,"1,98639455782313"
118,Bolschewismus,148508,288,113,171,80144158212,2003-10-21,"1,68421052631579"
159,Laissez-faire,111607,284,135,181,Nikola Herweg,2004-04-08,"1,56906077348066"
206,"Gerd Müller (Politiker, 1955)",86088,272,92,161,TMFS,2005-11-22,"1,68944099378882"
120,Ulrich Wegener,147574,270,105,149,Momo,2004-06-10,"1,81208053691275"
192,Tichys Einblick,95059,257,67,101,Cyve,2016-06-11,"2,54455445544554"
237,Der III. Weg,74228,254,86,123,ElTres,2015-07-15,"2,0650406504065"
15,Katarina Barley,629879,249,70,156,Nirakka,2013-09-24,"1,59615384615385"
234,Marxismus-Leninismus,75104,242,84,137,Belucha,2006-01-16,"1,76642335766423"
232,"Michael Müller (Politiker, 1964)",76274,241,89,141,87.122.32.123,2005-08-12,"1,70921985815603"
147,Aufstehen,120033,240,42,90,Rotesdiadem,2018-08-03,"2,66666666666667"
179,Katrin Suder,102124,228,74,83,Filterkaffee,2014-05-23,"2,74698795180723"
98,Reinhard Grindel,186638,215,80,132,TMFS,2005-08-25,"1,62878787878788"
132,Lars Klingbeil,128336,212,67,113,217227148247,2005-01-14,"1,87610619469027"
106,Freie Wähler Bayern,172113,211,83,109,Nolispanmo,2007-11-16,"1,93577981651376"
219,Desiderius-Erasmus-Stiftung,81881,202,55,79,Dopaminabscheider,2018-01-23,"2,55696202531646"
161,Daniel Günther,111173,201,63,92,Sciurus,2009-10-27,"2,18478260869565"
222,Carsten Linnemann,81703,198,52,107,217.87.95.128,2009-09-18,"1,85046728971963"
32,Franziska Giffey,455987,193,71,108,Lokalpolitik,2015-01-25,"1,78703703703704"
89,Liste der deutschen Bundesregierungen,199949,189,60,110,TMFS,2003-12-05,"1,71818181818182"
14,Annalena Baerbock,673179,177,56,109,Morimont,2009-12-18,"1,62385321100917"
245,Adrian Ursache,72496,164,44,84,91.4.65.163,2016-08-25,"1,95238095238095"
112,Helge Braun,163586,161,55,99,JuergenL,2005-03-15,"1,62626262626263"
162,Säkularismus,111019,159,77,127,Riptor,2002-10-01,"1,25196850393701"
91,Svenja Schulze,197991,149,51,107,84128134165,2005-01-25,"1,39252336448598"
61,Anja Karliczek,302445,144,40,84,J.-H. Janßen,2013-09-22,"1,71428571428571"
195,Staatsminister (Deutschland),91815,137,61,104,Mephisto-Munic,2005-12-11,"1,31730769230769"
58,Alexander Neu,311354,83,28,46,Jakob Gottfried,2013-09-24,"1,80434782608696"
,,,,,,,,
,,,,,,,,
,,,,,,,,"2,22691849867892"
