User,Edited Articles,Total Edits,Total Minors
Ralf Roletschek,50,150,32
Anton-Josef,38,149,144
Nicolai P.,36,149,40
Dandelo,78,148,70
Brodkey65,45,148,82
Tets,25,148,56
Wikifreund,50,147,22
Prüm,46,147,97
Informationswiedergutmachung,86,146,95
Tsor,66,146,106
Excolis,50,145,38
Wo st 01,24,144,59
Ephraim33,88,143,0
Felix Stember,65,143,106
Lectorium,16,143,5
Sinn,57,142,79
Politics,22,142,43
YurikBot,84,141,140
Se4598,62,141,140
Jesi,82,140,3
Roentgenium111,37,140,44
Orik,19,140,24
Kryobob,2,140,17
Andy king50,72,139,87
JAnDbot,62,139,136
Harry8,59,139,67
Anathema,53,139,99
Malabon,51,139,107
Eisbaer44,31,139,112
Engie,70,138,128
Stern,49,138,43
WhoisWhoME,10,138,21
Krdbot,108,137,67
Hubertl,57,137,81
Sol1,47,137,71
Cartinal,31,137,76
111Alpha,17,137,21
KL052,35,136,33
Florian.Keßler,74,135,108
Der.Traeumer,72,135,109
Alexander Leischner,6,135,100
ZéroBot,98,134,134
Tobias1983,73,134,87
Khatschaturjan,41,134,9
H-stt,23,134,43
Kleiner Tiger,5,134,58
Markobr,67,132,126
Mathias Schindler,62,132,128
Holger1974,46,131,4
Emmridet,40,131,121
Pinneberg,11,131,59
GrouchoBot,82,130,130
Saidmann,11,130,22
TheRandomIP,11,130,17
Bujo,47,129,17
Petruz,23,129,65
Thomas Wozniak,7,128,23
Don Magnifico,88,127,11
Dundak,47,127,90
Head,72,126,94
Robert Weemeyer,38,126,31
Sprachfreund49,32,126,24
Frauke32,9,126,12
Jeldrik,8,126,27
Wobble~dewiki,1,126,0
Cirdan,33,125,46
Codc,70,124,91
Centenier,67,124,110
Urgelein,36,124,61
62.204.165.222,25,124,0
Machahn,21,124,63
Liberal Freemason,20,124,44
Gloser,17,124,13
HolgerB,15,124,78
Daniel749,7,124,51
PDD,60,123,62
Hozro,52,123,91
LIU,57,122,58
Steschke,43,122,54
Mps,52,121,92
APPER,71,120,105
Kochel86,16,120,20
Striegistalzwerg,14,120,1
SchirmerPower,39,119,38
Parvolus,23,119,16
YourEyesOnly,55,118,116
Roland Kutzki,19,118,45
Subamaggus,14,118,38
Jobu0101,61,117,101
Goliath613,35,117,3
Matt1971,66,116,79
Casra,28,116,51
Kandschwar,22,116,50
Datenspecht,10,116,15
RedBot,85,114,114
Der wahre Jakob,23,114,52
Wilske,21,114,65
Miraki,29,113,64
Schubbay,28,113,98
Aschmidt,24,113,22
HvH100,2,113,65
Ehrhardt,40,112,44
GT1976,48,111,11
Schotterebene,29,111,90
Oliver S.Y.,25,111,19
Tenorhornist5798,24,111,0
Weiße Rose,21,111,44
Bvo66,9,111,69
Gamma9,65,110,100
Geitost,39,110,70
Rudolfox,16,110,4
Bennsenson,16,110,7
Savin 2005,56,109,103
KurtR,38,109,36
Oenie,34,109,104
GrandpaScott,24,109,15
KarlV,18,109,37
Kh80,50,108,98
Benedikt2008,23,108,10
Mandarinentraum,4,108,20
Radschläger,53,107,89
Falkmart,20,107,4
Parzi,15,107,62
Kiwiv,5,107,23
Gödeke,48,106,92
ChristophDemmer,44,106,78
JuTe CLZ,40,106,35
MAK,35,106,32
Bhuck,34,106,7
Gonzo.Lubitsch,15,106,26
imported>Jeeny,1,106,0
Skyman gozilla,28,105,54
Wangen,23,105,19
SanFran Farmer,16,105,16
Charmrock,15,105,11
Vanellus,14,105,28
Polentario,13,105,29
Slowmover310,1,105,46
Definitiv,65,104,68
Franz Jäger Berlin,15,104,26
Stahlfresser,7,104,32
AndreasPraefcke,57,103,67
Hansbaer,28,103,37
Dr Möpuse,13,103,9
